date,Central bank liquidity swaps,Corporate Credit Facility LLC,Asset-Backed Commercial Paper Money Market Mutual Fund Liquidity Facility (Through 2010-02-03),"Credit extended to American International Group, Inc., Net",Money Market Mutual Fund Liquidity Facility (Post 2020-03-18),Other credit extensions,Payroll Protection Program Liquidity Facility,Primary credit,Primary dealer and other broker-dealer credit (Through 2010-02-03),Primary dealer credit facility (Post 2020-03-17),Seasonal credit,Secondary credit,Term Asset-Backed Securities Loan Facility,Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money Market Investor Funding Facility,Term auction credit,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of TALF LLC,Foreign currency denominated assets,Bank premises,Coin,Gold certificate account,Interdistrict settlement account,Items in process of collection,Net portfolio holdings of Commercial Paper Funding Facility II LLC (Post 2020-04-14),"Other Assets, Consolidated Table",Repurchase agreements,Special drawing rights certificate account,Preferred interests in AIA Aurora LLC and ALICO Holdings LLC,Federal agency debt securities,Mortgage-backed securities,Bills,Inflation compensation,"Notes and bonds, inflation-indexed","Notes and bonds, nominal",Unamortized discounts on securities held outright,Unamortized premiums on securities held outright
2004-04-21,0,0,0,0,0,0,0,18,0,0,65,0,0,0,0,0,0,0,0,0,19097,1663,831,11041,0,7872,0,9751,22750,2200,0,0,0,247332,1753,14464,411388,-865,9653
2004-04-28,0,0,0,0,0,0,0,5,0,0,77,0,0,0,0,0,0,0,0,0,19058,1664,816,11041,0,6437,0,10126,37500,2200,0,0,0,248757,1774,14464,411388,-864,9616
2004-05-05,0,0,0,0,0,0,0,8,0,0,89,0,0,0,0,0,0,0,0,0,19466,1672,799,11041,0,7955,0,10202,20000,2200,0,0,0,250163,1796,14464,411388,-873,9580
2004-05-12,0,0,0,0,0,0,0,80,0,0,96,0,0,0,0,0,0,0,0,0,18884,1672,777,11041,0,6703,0,10605,27250,2200,0,0,0,250163,1820,14464,411388,-876,9543
2004-05-19,0,0,0,0,0,0,0,1,0,0,110,0,0,0,0,0,0,0,0,0,19013,1676,757,11041,0,6609,0,7086,21250,2200,0,0,0,250230,1844,14464,413080,-917,9535
2004-05-26,0,0,0,0,0,0,0,10,0,0,117,0,0,0,0,0,0,0,0,0,19175,1678,741,11041,0,6496,0,7419,33750,2200,0,0,0,250439,1867,14464,413863,-926,9557
2004-06-02,0,0,0,0,0,0,0,35,0,0,127,0,0,0,0,0,0,0,0,0,19420,1683,718,11041,0,9517,0,7581,22500,2200,0,0,0,250472,1888,14464,414659,-952,9540
2004-06-09,0,0,0,0,0,0,0,32,0,0,125,0,0,0,0,0,0,0,0,0,19332,1685,726,11041,0,7285,0,7964,30250,2200,0,0,0,251908,1900,14464,415659,-984,9535
2004-06-16,0,0,0,0,0,0,0,35,0,0,139,0,0,0,0,0,0,0,0,0,19224,1688,744,11041,0,6798,0,8320,19000,2200,0,0,0,251922,1912,14464,416694,-999,9572
2004-06-23,0,0,0,0,0,0,0,8,0,0,157,0,0,0,0,0,0,0,0,0,19422,1691,754,11041,0,6449,0,8733,32000,2200,0,0,0,252094,1924,14464,416694,-1021,9539
2004-06-30,0,0,0,0,0,0,0,154,0,0,169,0,0,0,0,0,0,0,0,0,19444,1702,744,11040,0,6744,0,8814,33500,2200,0,0,0,254295,1936,14464,416694,-1046,9506
2004-07-07,0,0,0,0,0,0,0,53,0,0,172,0,0,0,0,0,0,0,0,0,19714,1697,712,11040,0,9586,0,9207,28000,2200,0,0,0,254776,1958,14464,416694,-1064,9474
2004-07-14,0,0,0,0,0,0,0,51,0,0,209,0,0,0,0,0,0,0,0,0,19661,1697,710,11040,0,6730,0,9709,25500,2200,0,0,0,255178,2017,14862,418251,-1083,9528
2004-07-21,0,0,0,0,0,0,0,7,0,0,226,0,0,0,0,0,0,0,0,0,19446,1700,725,11040,0,6384,0,9655,25500,2200,0,0,0,255248,2039,14862,420150,-1097,9504
2004-07-28,0,0,0,0,0,0,0,193,0,0,239,0,0,0,0,0,0,0,0,0,19164,1707,735,11040,0,5628,0,10042,21500,2200,0,0,0,255248,2061,14862,421546,-1110,9505
2004-08-04,0,0,0,0,0,0,0,95,0,0,225,0,0,0,0,0,0,0,0,0,19216,1709,740,11040,0,8333,0,10177,17000,2200,0,0,0,255248,2078,14862,421546,-1133,9471
2004-08-11,0,0,0,0,0,0,0,4,0,0,227,0,0,0,0,0,0,0,0,0,19407,1710,750,11040,0,6034,0,10581,16000,2200,0,0,0,255248,2090,14862,421546,-1153,9437
2004-08-18,0,0,0,0,0,0,0,8,0,0,234,0,0,0,0,0,0,0,0,0,19564,1711,754,11040,0,6192,0,6977,16500,2200,0,0,0,255254,2102,14862,422541,-1180,9457
2004-08-25,0,0,0,0,0,0,0,5,0,0,230,0,0,0,0,0,0,0,0,0,19331,1718,764,11040,0,5994,0,7364,24500,2200,0,0,0,255322,2114,14862,422541,-1197,9427
2004-09-01,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,19475,1718,777,11039,0,7663,0,7459,32500,2200,0,0,0,255330,2124,14862,422541,-1230,9396
2004-09-08,0,0,0,0,0,0,0,185,0,0,234,0,0,0,0,0,0,0,0,0,19498,1718,770,11039,0,9567,0,7891,33000,2200,0,0,0,255348,2117,14862,422541,-1247,9366
2004-09-15,0,0,0,0,0,0,0,57,0,0,246,0,0,0,0,0,0,0,0,0,19397,1722,770,11039,0,7175,0,8151,35500,2200,0,0,0,255389,2111,14862,423341,-1257,9366
2004-09-22,0,0,0,0,0,0,0,15,0,0,240,0,0,0,0,0,0,0,0,0,19492,1723,773,11039,0,6200,0,8540,26500,2200,0,0,0,257053,2105,14862,424141,-1267,9415
2004-09-29,0,0,0,0,0,0,0,6,0,0,245,0,0,0,0,0,0,0,0,0,19511,1731,777,11039,0,6682,0,8950,29500,2200,0,0,0,257079,2135,15262,424141,-1275,9427
